Title;Number of characters;Number of lines;Script size (UTF-8);Script size (JSIS)
Ewige Schlacht -Erste Geschichte-;141670;7853;493;329
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO;1255067;97133;4701;3135
Aku no Onna Kanbu Full Moon Night;1276772;49695;4575;3050
Futagoza no Paradox;1100660;51716;3840;2560
Ewige Schlacht -Letzte Geschichte-;160371;10324;570;380
Sousaku Kanojo no Ren'ai Koushiki;580594;29626;2022;1349
Evenicle;1193161;90106;4235;2823
Futamata Ren'ai;626744;23331;2051;1367
Kimi ga Ita Kisetsu ~Primary~;2050653;109274;7472;4981
Kizuato;695031;18167;2433;1622
Clannad;1364891;101412;4888;3260
Dracu-Riot!;1170260;52729;4247;2831
Aiyoku no Eustia;973924;65447;3415;2276
Natsukumo Yururu;748427;32477;2602;1734
Sengoku Rance;766426;95157;2837;1891
Clover Point;824756;43383;3020;2013
Planetarian;64604;2888;214;142
Ayakashi;677719;54913;2408;1606
Flowers -Le Volume sur Automne-;277218;11547;929;619
Twinkle ☆ Crusaders;1470178;77305;5269;3516
Machina no Kiseki ~Ogeretsu Daihyakka Gaiden~;414201;28284;1459;974
Utawarerumono;268100;24727;1045;697
Flowers -Le Volume sur Printemps-;312626;13363;1057;704
Dangan Ronpa Kibou no Gakuen to Zetsubou no Koukousei;810617;46449;2743;1828
Ogeretsu Daihyakka;352469;24011;1241;827
Flowers -Le Volume sur Été-;255196;10767;853;569
Akatsuki no Goei ~Tsumibukaki Shuumatsuron~;873476;67370;3172;2115
Shirokuma Bell Stars♪;976729;48963;3606;2404
√ after and another;912811;60182;3349;2233
Dasoku;492135;32915;1844;1228
Angel Beats! -1st Beat-;610891;40110;2192;1461
Love of Ren'ai Koutei of LOVE!;638090;35254;2312;1541
Narisokonai Snow White;176334;5927;585;390
Girls Nite Out;38013;1777;125;83
Sumaga;1141223;97655;4318;2879
Rance 10;3046809;263557;11479;7653
Kurai Heya;140116;2108;445;296
Muv-Luv;1229555;98296;4842;3228
Hana no No ni Saku Utakata no;606081;29981;2086;1390
Kimi ga Nozomu Eien;1545557;111179;5736;3824
Ace Attorney Investigations: Miles Edgeworth;459551;26675;1609;1072
Phoenix Wright: Ace Attorney 5;596790;31863;2080;1387
Tsukumo no Kanade ~Kaketsuki no Yasoukyoku~;534386;22175;1874;1249
Kin'iro Loveriche;937024;79228;3332;2222
Amaemi -longing for you-;657205;26439;2294;1529
Hamidashi Creative;1116355;32124;3821;2547
Waga Himegimi ni Eikan wo;955170;65649;3382;2255
Ouka Sabaki;699867;34111;2589;1726
Sora o Tobu, 3tsu no Houhou.;1018562;48134;3706;2471
Ryuusei World Actor;883512;52211;3042;2028
Tsui no Stella;164529;9635;560;373
Sekai de Ichiban Dame na Koi;662163;50229;2349;1566
Owaru Sekai to Birthday;1346492;59375;4698;3132
Tsujidou-san no Virgin Road;640885;45054;2321;1547
Schwarzesmarken;265835;13590;984;656
Riddle Garden;853801;37383;2927;1952
Shizuku;344344;6779;1147;765
Choukou Shinki Ixseal;1031961;82040;3723;2482
Hapymaher;1038266;41608;3528;2352
Shinsou Noise ~Jushin Tantei no Jikenbo~;983520;39154;3327;2218
Parfait ~Chocolat Second Brew~;671343;39474;2475;1650
Sengoku † Koihime X ~Otome Kenran ☆ Sengoku Emaki~;2726585;124664;9869;6579
Grisaia: Phantom Trigger;812237;30823;2868;1912
Ninja Girl and the Mysterious Army of Urban Legend Monsters! ~Hunt of the Headless Horseman~;111257;7071;375;250
Taishou x Alice;853892;44924;3009;2006
Fortissimo EXS//Akkord:Nachsten Phase;1237127;46831;4543;3029
Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka?;1092361;49114;3937;2628
Kamaitachi no Yoru Rinne Saisei;328530;15040;1105;737
Higanbana no Saku Yoru ni - Dai Ichi Ya;234475;12760;805;536
Dead Days;538511;20687;1856;1237
Cross†Channel -Final Complete-;681181;53592;2501;1668
Chooita ~Subarashiki Chounouryoku Jinsei~;249229;14173;874;584
Hakuchuumu no Aojashin;670947;41327;2401;1601
Higanbana no Saku Yoru ni - Dai Ni Ya;165017;9628;573;382
Daiteikoku;1454635;134553;5110;3407
Sakura no Uta -Sakura no Mori no Ue wo Mau-;1263324;67289;4444;2963
Gothderi -Gothic Delusion-;351557;15688;1215;810
Noel;396002;21283;1388;925
Maji de Watashi ni Koishinasai;1258959;86086;4625;3083
Sen no Hatou, Tsukisome no Kouki;815839;48954;2834;1890
"Steins;Gate 0";535105;26694;1840;1227
Dorakuriusu;689119;32232;2573;1715
Monobeno -Happy End-;2042754;97370;7445;4964
Ayakashibito;1235280;51596;4319;2880
Baldr Sky Dive1: Lost Memory;961333;44241;3462;2310
Sanzen Sekai Yuugi ~MultiUniverse Myself~;548932;38063;1856;1238
Tsujidou-san no Jun'ai Road;1148896;83100;4178;2785
Aoi Sora no Camus;257243;12769;877;584
Phantom Integration;462683;31508;1559;1040
Katawa Shoujo;1076910;33002;3437;2292
MinDeaD BlooD ~Shihaisha no Tame no Kyoushikyoku~;769113;38285;2722;1814
Reincarnation ☆ Shinsengumi!;735835;29035;2573;1715
G-senjou no Maou;776500;41243;2704;1803
Grisaia no Kajitsu -Le Fruit de la Grisaia-;1645669;64020;5717;3811
Air;596800;49576;2136;1424
Kira☆Kira;1066595;35738;3527;2352
Nora!;318343;23017;1180;787
Kara no Shoujo - The Last Episode;449092;24185;1529;1019
Lunaria -Virtualized Moonchild-;143336;8386;521;348
Fatal Twelve;470218;18187;1568;1045
Island;660423;37066;2351;1567
WORLD END ECONOMiCA episode.01;290660;11484;958;639
Kusarihime ~Euthanasia~;308149;21534;1077;718
Muv-Luv Alternative;965413;61236;3679;2452
Hanafubuki ~Sennen no Koi wo Shimashita~;825711;46733;2877;1918
Omega Vampire;509588;22083;1855;1237
Dear My Abyss;362938;25708;1200;800
Meikei no Lupercalia;572390;27078;2030;1353
Flowers -Le Volume sur Hiver-;281473;11007;938;625
Tenshi no Hane wo Fumanaide;789756;33024;2728;1819
Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka? 2;1104508;45362;3911;2610
Kikaijikake no Eve -Dea Ex Machina-;1527109;45174;5252;3501
Shiei no Sona-Nyl -What a Beautiful Memories-;422519;43404;1507;1005
Swan Song;461991;11759;1517;1011
Soukou Akki Muramasa: Janen Hen;92436;7634;335;223
Zoku Satsuriku no Django;238579;11265;792;528
"Steins;Gate";563727;27717;1927;1285
